Frase,Consensuada
" Venga, ¿estamos preparados?",2
"Ahí sentados, si no tenía la autorización.",3
"Pásame la pelota, ahora os mando yo una tarea.",3
"Bueno, bienvenidos... ...a otra maravillosa clase de educación física, esta vez en español. Con lo cual, espero que... ...vayamos rápido, nos van a grabar... ...y vamos a hacerlo lo mejor posible. Ya sabes que tengo mucha fe en vosotros.",2
Como siempre...,0
" Tenéis que dar la mejor versión de vosotros mismos. Hoy vamos a ver el lanzamiento a canasta, que para mí es la habilidad más importante del baloncesto, porque si no sabes tirar a canasta, no vas a encestar puntos. Entonces vamos a aprender las cuatro maneras que tienes para encestarla a canasta, que es el tiro libre, el segundo, vamos a aprender el jump shot, en inglés, que me sale en inglés, el tiro en suspensión.",2
"Toma, Marc.",0
 El tercero que vamos a ver va a ser el tiro a tabla y el último que vamos a intentar practicar la entrada a canasta. Como es una habilidad muy importante le vamos a dedicar dos sesiones.,2
"Así que vamos a calentar, vamos a hacer el gesto técnico primero y luego vamos a hacer ejercicios en cada de las canastas practicando estos diferentes tiros.",1
Como siempre,0
 terminaremos jugando un partido y aplicando lo que hemos aprendido durante la clase.,2
"Por lo tanto, cuando terminen la clase no quiero ver a nadie, aquellos que quieran conseguir mejores notas, lanzar con dos manos.",3
"Más vale que intentéis aplicar la técnica aunque falléis. No quiero ver a nadie tirar así con dos manos. Ya te voy a enseñar yo, no te preocupes. Pero básicamente vas a enterar que solo impulsas con una mano.  La otra solo guía la pelota. ¿Estamos preparados?",2
"Venga, pues hoy se va a poner a hombre G.",0
¿A quién no le gustan los hombres G?,0
"Bueno, espera.",0
"Venga, Rolling Stone.",0
Vale.,0
" ¿Preparados? ¿Listos? Empezamos trotando, vamos, hasta el otro lado. Volvemos. Desplazamientos laterales. Cruzamos las piernas.",2
" Héctor, Pedro, calentar allí, ¿vale?",0
Donde no esté la cámara.,0
"Talones. Muy bien, bajamos el centro de gravedad. La punta de los pies, hacemos cambios de dirección. Este ejercicio es muy importante para el baloncesto y este es esencial para defender. Bajamos el centro...  Los glúteos, el culo.",2
Ahí cojo el boli.,0
"Muy bien, ahora zancadas amplias. Ponemos las manos arriba, andamos de puntillas y estiramos bien arriba. Talones y muñecas.  Como es baloncesto, ya sabéis que los dedos hay que calentarlos muy bien. Abriendo y cerrando.",2
"No, porque no... Sí, no tienen allí, le he dicho allí que calienten.",3
¡Héctor!,3
¡Pedro!,3
"Ahí calentando, lo mismo.",3
"Circunduciones de brazos. Y adelante.  Lo mismo que estamos haciendo lo hacéis ahí, donde no está la cámara. Atrás. Muy bien, abriendo y cerrando. Arriba y abajo. Pedro, Héctor, lo mismo.  Y el último, los dos últimos ya sabéis, giramos el tronco. Y giramos el tronco hacia un lado y hacia el otro. Venga, con ganas, corremos en el sitio.  Corremos en el sitio. Corremos en el sitio. Corremos en el sitio. Corremos en el sitio. Corremos en el sitio. Mirando en esa dirección, saltamos. Giramos. Saltando en el sitio.  Levantamos, llevamos las rodillas al pecho. El último para aumentar la frecuencia cardíaca. Corremos hasta la mitad, volvemos y vamos hasta el final. Venga, vamos, vamos, vamos. Nos cogemos. Estirar el cuádriceps.",2
" Y ahora el chándal, la próxima vez, ya llevas dos días.",3
Que no me fijo y me fijo.,3
"Muy bien, los aductores. Abrimos piernas. Fenomenal. Hoy vamos a aprender mucho. Hace calor, pues ya sabemos, a mitad de clase haremos una parada de hidratación. Si se me olvida, me lo decís.  Y en junio empezamos con la bachata, o un poquito antes de junio. Cruzamos y bajamos. Venga, cambiamos. Ya sabes que hay que estar 15 segundos. Pasamos un poquito rápido, porque si no, no tenemos tiempo.  Una pierna adelante, cogemos los dedos de los pies, la punta, intentamos tirar hacia atrás. El último. Y como es baloncesto, que se me olvidó el primer día, vamos a trabajar un poquito las articulaciones de tobillos y rodillas y muñecas, que es lo que más se trabaja en baloncesto. Venga, el otro.  La muñeca, bien. ¡Fenomenal! Vamos a pasar a la parte técnica. Cogemos un balón y lo colocamos por parejas, uno enfrente del otro. Mark se puede colocar con alguien.  Nos colocamos, a ver, yo creo que esta orientación es la mejor. Uno enfrente del otro. Uno enfrente del otro. Es en español, sí, con uno. Un balón por pareja, un balón por pareja. Uno enfrente del otro, separados cuatro metros, como estamos Mark y yo. Ahí. Ahí.  Vale, pues ahora alguien que se coloque. Nos colocamos uno enfrente del otro. Ana, colócalos aquí.",2
Dime.,0
Estos petos no los había visto nunca.,0
"No, porque esto es del estudio.",0
Estoy con el estudio.,0
"Sí, pues sí.",0
"Vale, dejamos de votar y escuchamos. Bueno, que aquí está Mar para... ¿Tú tienes pareja?  Pues tú con Marc, ¿vale? Yo le explico. Mirad, las cosas para disfrutarlas y aprenderlas hay que aprenderlas correctamente. Yo puedo tirar la canasta de muchas maneras, pero si no aprendo a realizarlo desde el principio con la buena técnica, voy a encestar muy poco. Entonces, mirad, lo más importante. Vamos a colocar la pelota en frente de nuestra cara.  y nuestro brazo de lanzamiento va a formar 90 grados, ¿vale? Ahí va a estar. Lo segundo importante, el balón no descansa en la palma de la mano, ¿vale? Descansa más sobre lo que son las fingertips, que en español es la yema de los dedos, porque es que ya es tanto inglés, ¿vale? Y adelantamos normalmente la pierna derecha si somos diestros. Desde ahí...  Mirad aquí, no estoy aquí abajo, no estoy aquí al lado, enfrente, voy a flexionar las piernas y a la vez que extiendo las piernas, extiendo el brazo. Porque el lanzamiento no se hace solo con los brazos, se hace también con las piernas. Desde ahí voy a extender y mirad como lo que hago con la muñeca. La muñeca, fijaros, tengo que hacer una flexión.  Tengo que terminar ahí. ¿Para qué? Para que el balón vaya girando hacia atrás. Ahí nos lo colocamos enfrente y ahí perfecto que va girando. Entonces vamos a hacerlo como 8 o 9 veces desde aquí. Me lo coloco, llamo a los dedos, 90 grados, extiendo y que vaya girando. Venga, pues lo intentamos. Venga, muy bien, enfrente. Muy bien, Ivana. Ahí un poquito más. Ahí. Venga, fenomenal. Qué bien lo estáis haciendo.  A ver ahí, enfrente. Oh, qué bien.",2
"Tú vas al baloncesto, ¿no?",3
"Bueno, muy bien. El balón, mira, no desde aquí, ¿vale? Es desde aquí. Enfrente. Enfrente. 90 grados. Mira, Joana, tú no tienes 90 grados. 90 grados el brazo. Ahí arriba, pero mira, ¿dónde está el balón? ¿A un lado? Mira dónde está el balón. Ay, que no, me está aquí, enfrente. Ahí. Ahí, muy bien. Jonathan, ahí le vamos ayudando a nuestro compañero. Muy bien, Daniel. Muy bien, lo estás haciendo hoy.  ¡Oh, fenomenal! ¡Fenomenal! Lorena, ¿con cuántas manos se impulsa en baloncesto el balón? Se impulsa con una, se lanza...  con dos pero se impulsa con una vale muy bien como veo también vamos a pasar al siguiente que hace la otra mano la otra mano guía el balón para que vaya recto pero no impulsa  No hace fuerza para impulsar, entonces, como siempre, 90 grados, la pierna derecha adelantada, piernas flexionadas, y mira lo que hago con el brazo, lo coloco en un lado. Normalmente lo que dicen es que tienen que formar los dos pulgares una T, pero bueno, aquí, llamad los dedos, el balón a un lado, y mirad, aquí, lanzo lo mismo, pero mira, solo impulso con esta mano. La otra, lo único que va a hacer es que el balón vaya recto.  Vale, pues entonces lo intentamos y nos fijamos de que seguimos impulsando con una mano. Muy bien, y que vaya girando el balón hacia atrás. Muy bien, pero sigue encendiendo. Acuérdate que la canasta está un poquito alta. Venga, muy bien. Mejor, Laura, muy bien. Has impulsado con las dos manos. Venga, si veis a vuestro compañero que no está impulsando con las manos, está impulsando con dos manos, se lo decimos.  El balón tiene que ir hacia atrás. Si no sale recto, significa que no estoy utilizando la otra mano. Muy bien. Coloco. Ahí, girando. Fenomenal. Muy bien. Vamos a pasar al siguiente paso.  Entonces, desde aquí ya sé colocar las manos, ya sé que es impulsar con una, la otra dirige y ahora cojo la pelota y ahora voy a extender las piernas y voy a saltar, que vamos a hacer un salto en suspensión. Vamos a hacer un lanzamiento en suspensión. Cojo la pelota.  Y desde ahí, a la vez que extiendo salto y en el punto más alto es cuando lanzo la pelota. Pero igual, coloco las manos primero, ¿vale?",2
Y santo.,0
"Esto lo que nos va a permitir es lanzar más lejos. Porque ya hemos dicho, acordaros que el balón tiene que ir dando vueltas hacia atrás. Vueltas hacia atrás. Coloca las manos, ahí, coloca y santo.  Tienes que terminar con la flexión, ¿vale? Ahí, para que vaya hacia atrás. Fenomenal, estupendo, extraordinario.",2
"Hasta aquí todo bien, ¿no?",1
"A un lado, a un lado, a ver, a ver. Mira, aquí, esta mano aquí, al lado. Ahí, vale. Veo que vamos a conseguir buenos resultados de lanzamiento.  Álvaro, en la última fase, normalmente vamos a botar la pelota, ahora vamos a botar la pelota, cojo la pelota, coloco las manos y hago el lanzamiento, pero vamos a intentar empezar a coordinar lo que es el salto, el bote con el salto, cojo la pelota, la coloco y lanzo. Acordaros, todos los pasos, centraros sobre todo en la colocación de las manos.  Pedro no te veo lanzar, me oyes desde ahí, quedaros un poquito más cerca para... Hacia arriba, hay que tirar hacia arriba. Hacia arriba. Hacia arriba.  muy bien ahora menos estas seis personas nos vamos a colocar en la sombra que voy a explicar cómo va a ser cómo va a funcionar los ejercicios y cómo vamos a hacer una rueda de lanzamiento vale para como hace mucho calor ponerse la sombra este grupo que va a empezar en esta canasta vale vamos a empezar con como si fuera un lanzamiento de tiro libre pero más cerquita entonces los que no tienen balón  Se colocan detrás del cono. Los que tenemos balón, detrás mío. ¿Vale? Esto es lo que se llama una rueda de lanzamiento. ¿Qué es lo que nos va a permitir? Lanzar muchas veces. Porque estaremos organizados. Y encima no tenemos un balón. Tú ponte aquí, Lorena. Ponte conmigo. Aquí, aquí. Este es tu balón. Yo hago de Lorena. Mirad. Ponte aquí. Ponte ahí. Mirad. Yo lanzo. El primero que lanza, tú coges el rebote. ¿Vale? Entonces, ponte ahí.  vas a coger el rebote, yo lanzo, me coloco en la posición, intento lanzar, tú coges el rebote y te vas a la fila. Siguiente, ¿dónde va el rebote? El que está aquí en el rebote, ponemos debajo de la canasta, tú lanzas, colocaste las manos, muy bien, y tú coges el rebote. Así vamos a estar por lo menos dos o tres minutos centrándonos en la posición de las manos  En extender los brazos y terminar el movimiento. Muy bien, allí. Los que no tienen balón, allí. Otros seis. Otras seis personas.",2
"Venga, más o menos del mismo nivel.",3
"Aquí. Vamos a empezar por aquí, ¿vale? El primero desde ahí. Y los otros allí, los que no tienen balón. Otros tres aquí o tres personas. Valeria, tú no tienes balón aquí. Izan, tú no tienes balón allí.  Sí, tú, ellos lanzan, tú coges el rebote y te vas a la fila. Tú detrás de la fila, ¿vale?",2
"Coge, que teje y marque el balón.",0
"Corre, venga, ahí. Déjase el balón, ahí. Venga, ponte, va. Otro grupo de seis, conmigo. Muy bien, centraros en la técnica. Impulsamos con una mano. Céntrate, a ver, Izan, ahí, que te vea. Izan, termina ahí. Venga, nos colocamos, vamos.  Con balón, sin balón, rápido ya, la rueda. Come on.",2
Me sale en inglés.,0
"Sin balón allí, con balón aquí. Nos centramos en la técnica. Desde aquí, coloco el balón y tiro. ¿Vale? Venga, empezamos ahí dos o tres minutos. El último grupo, aquí conmigo. Qué suerte, sois cuatro nada más, así vais a lanzar más.",2
Vale.,0
"Ahora voy a preguntar si desde ahí se ve aquí, que yo creo que no.",2
Vale.,0
 ¿Balón?,0
¿Sin balón?,0
¿Balón?,0
¿Sin balón?,0
Dime.,0
Muy.,0
"No veo nada, yo no creo que nos quedéis viejos.",0
"A ver, aquí estoy.",0
"Alba, vamos por aquí.",2
" Ay, María.",0
¿Esta canasta de aquí sale en la cámara?,0
Esta de aquí.,0
Esta también.,0
Digo para los que no tienen la autorización para que no... O ponerlo allí.,0
¡Pedro!,3
¡Pedro!,3
¡Héctor!,3
Poneros aquí que en esta canasta no va a salir.,3
O va a intentar que no salga.,0
Sí se ve un poco.,0
¿Se ve un poco?,0
Pero se puede recortar.,0
"Bueno, pues luego lo recortan.",0
Poneros allí.,0
" Venga, vamos, vamos. Vale, muy bien. Vale, si es que me has hecho caso. Muy bien, pues me has hecho caso. Ahora vamos a hacer lo mismo, Laura, pero vamos a empezar con el lanzamiento en suspensión. Entonces, desde aquí coges el rebote, vas ahí al rebote, y mirar ahora. Lo mismo, pero saltando. Coge el rebote. Ahora la misma técnica, pero saltando. Oh, muy bien, Ishan, entra ahí.  Colocamos allí. Vale, estás adelantado porque ahora viene el lanzamiento en suspensión, ¿vale? Voy botando la pelota. Voy botando la pelota.",2
"Es tuya esta, ¿no?",0
"Voy botando, cojo la pelota, coloco y lanzo.",2
¡Eh!,0
Eso ha sido ganasta.,0
"¡Eh, que me lo ha quitado!",0
"Bueno, lanza él, ¿vale? Pero la técnica es la misma, impulsamos. Tiramos la muñeca, flexionamos la muñeca al final. Muy bien, Inham. Ya lo tienes.",2
Viene...,0
" Intentamos ahí guiar, vale.",1
